Bus,Pd,v_nom,country,reeds_zone,reeds_ba,interconnect,x,y,nerc_reg,trans_reg,trans_grp,reeds_state,rec_trading_zone,substation_lv,control,generator,type,carrier,unit,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,sub_network
p1,10279.55,230.0,p1,p1,BPAT,western,-122.18539704081633,47.64116646258503,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,True,Slack,p1 biomass,,AC,,1.0,0.0,inf,
p10,32541.09,230.0,p10,p10,CISO,western,-117.93686449579832,34.18830052521008,WECC_CA,CAISO,CAISO,CA,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p100,648.63,230.0,p100,p100,PJM,eastern,-78.26512608695653,38.88336956521739,PJM,PJM,PJM_East,VA,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p101,28219.28,230.0,p101,p101,SEC,eastern,-82.07735215163935,28.49154743852459,SERC,FRCC,FRCC,FL,FL,True,PQ,,,AC,,1.0,0.0,inf,
p102,16994.53,230.0,p102,p102,FPL,eastern,-80.33559217171717,26.529615656565657,SERC,FRCC,FRCC,FL,FL,True,PQ,,,AC,,1.0,0.0,inf,
p103,20314.37,230.0,p103,p103,MISO,eastern,-84.2938014527845,43.23896101694915,MISO,MISO,MISO_Central,MI,MIRECS,True,PQ,,,AC,,1.0,0.0,inf,
p104,1353.64,230.0,p104,p104,PJM,eastern,-85.91743372093023,42.092182558139534,PJM,PJM,PJM_West,MI,MIRECS,True,PQ,,,AC,,1.0,0.0,inf,
p105,11015.52,230.0,p105,p105,MISO,eastern,-86.26331931407942,40.84416444043321,MISO,MISO,MISO_Central,IN,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p106,3483.31,230.0,p106,p106,MISO,eastern,-86.12872333333333,39.848415833333334,MISO,MISO,MISO_Central,IN,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p107,5767.56,230.0,p107,p107,MISO,eastern,-86.28515754985754,38.863099999999996,MISO,MISO,MISO_Central,IN,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p108,1530.3799999999999,230.0,p108,p108,MISO,eastern,-87.23956964285715,37.550295535714284,MISO,MISO,MISO_Central,KY,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p109,11895.41,230.0,p109,p109,PJM,eastern,-84.7442554973822,38.00711919720768,PJM,PJM,PJM_East,KY,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p11,5224.94,230.0,p11,p11,CISO,western,-117.11323618055556,32.90268993055556,WECC_CA,CAISO,CAISO,CA,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p110,1169.36,230.0,p110,p110,PJM,eastern,-82.78359764705883,37.67075764705882,PJM,PJM,PJM_East,KY,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p111,12082.86,230.0,p111,p111,PJM,eastern,-81.80214858223063,41.31493119092628,PJM,PJM,PJM_East,OH,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p112,11472.87,230.0,p112,p112,PJM,eastern,-82.8154111111111,40.13913465608466,PJM,PJM,PJM_East,OH,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p113,2824.2599999999998,230.0,p113,p113,PJM,eastern,-84.04558366013072,39.77912875816993,PJM,PJM,PJM_East,OH,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p114,4413.5,230.0,p114,p114,PJM,eastern,-84.40416052631579,39.248924736842106,PJM,PJM,PJM_East,OH,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p115,5751.47,230.0,p115,p115,PJM,eastern,-79.91374144869216,40.416643863179075,PJM,PJM,PJM_East,PA,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p116,3208.08,230.0,p116,p116,PJM,eastern,-80.11338865979381,39.08153051546392,PJM,PJM,PJM_East,WV,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p117,2145.86,230.0,p117,p117,PJM,eastern,-81.74871901840491,38.093297546012266,PJM,PJM,PJM_East,WV,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p118,3605.91,230.0,p118,p118,PJM,eastern,-80.85078469387756,37.06911768707484,PJM,PJM,PJM_East,VA,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p119,543.1,230.0,p119,p119,PJM,eastern,-77.9799156626506,41.23715421686747,PJM,PJM,PJM_East,PA,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p12,1885.68,230.0,p12,p12,NEVP,western,-118.36445161290322,39.45764086021505,WECC_NWPP,NorthernGrid,NorthernGrid_South,NV,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p120,381.79,230.0,p120,p120,PJM,eastern,-77.7827225,39.896115,PJM,PJM,PJM_East,PA,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p121,1193.17,230.0,p121,p121,PJM,eastern,-78.09438846153846,39.512580769230766,PJM,PJM,PJM_East,MD,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p122,22976.87,230.0,p122,p122,PJM,eastern,-76.92659565217392,40.66515054347826,PJM,PJM,PJM_East,PA,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p123,15791.14,230.0,p123,p123,PJM,eastern,-76.64081850079745,39.04374162679426,PJM,PJM,PJM_East,MD,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p124,138.5,230.0,p124,p124,PJM,eastern,-75.74179375,37.638875,PJM,PJM,PJM_East,VA,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p125,2434.57,230.0,p125,p125,PJM,eastern,-75.52317623762376,39.22035742574258,PJM,PJM,PJM_East,DE,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p126,22186.56,230.0,p126,p126,PJM,eastern,-74.51277449521785,40.350485866099895,PJM,PJM,PJM_East,NJ,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p127,26255.8,230.0,p127,p127,NYIS,eastern,-75.50566761078119,42.41336893558702,NPCC_NY,NYISO,NYISO,NY,NYGATS,True,PQ,,,AC,,1.0,0.0,inf,
p128,5147.47,230.0,p128,p128,NYIS,eastern,-73.25594006734008,40.79426195286195,NPCC_NY,NYISO,NYISO,NY,NYGATS,True,PQ,,,AC,,1.0,0.0,inf,
p129,968.08,230.0,p129,p129,ISNE,eastern,-72.75939646017699,44.09555604719764,NPCC_NE,ISONE,ISONE,VT,NEPOOL,True,PQ,,,AC,,1.0,0.0,inf,
p13,5219.09,230.0,p13,p13,NEVP,western,-115.09519672131147,36.126209016393446,WECC_NWPP,NorthernGrid,NorthernGrid_South,NV,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p130,2440.69,230.0,p130,p130,ISNE,eastern,-71.53067223880598,43.32207492537314,NPCC_NE,ISONE,ISONE,NH,NEPOOL,True,PQ,,,AC,,1.0,0.0,inf,
p131,12218.67,230.0,p131,p131,ISNE,eastern,-71.47687365119197,42.26189021329987,NPCC_NE,ISONE,ISONE,MA,NEPOOL,True,PQ,,,AC,,1.0,0.0,inf,
p132,6793.98,230.0,p132,p132,ISNE,eastern,-72.80835835294117,41.53361788235294,NPCC_NE,ISONE,ISONE,CT,NEPOOL,True,PQ,,,AC,,1.0,0.0,inf,
p133,1427.34,230.0,p133,p133,ISNE,eastern,-71.46221441441442,41.722324324324326,NPCC_NE,ISONE,ISONE,RI,NEPOOL,True,PQ,,,AC,,1.0,0.0,inf,
p134,2126.8,230.0,p134,p134,ISNE,eastern,-69.56759299145298,44.532465811965814,NPCC_NE,ISONE,ISONE,ME,NEPOOL,True,PQ,,,AC,,1.0,0.0,inf,
p14,604.52,230.0,p14,p14,AVA,western,-116.78135714285715,47.61060714285714,WECC_NWPP,NorthernGrid,NorthernGrid_East,ID,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p15,1748.91,230.0,p15,p15,IPCO,western,-115.7697425,43.72075875,WECC_NWPP,NorthernGrid,NorthernGrid_East,ID,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p16,914.78,230.0,p16,p16,PACE,western,-112.66646296296295,42.981174074074076,WECC_NWPP,NorthernGrid,NorthernGrid_East,ID,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p17,750.76,230.0,p17,p17,NWMT,western,-113.90005555555555,47.0348037037037,WECC_NWPP,NorthernGrid,NorthernGrid_East,MT,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p18,717.09,230.0,p18,p18,NWMT,western,-109.26560685483872,47.64552237903226,WECC_NWPP,NorthernGrid,NorthernGrid_East,MT,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p19,36.620000000000005,230.0,p19,p19,SWPP,western,-106.83296153846153,48.03563461538461,WECC_NWPP,NorthernGrid,NorthernGrid_East,MT,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p2,3281.11,230.0,p2,p2,BPAT,western,-121.36153472222223,46.31288472222222,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p20,380.36,230.0,p20,p20,NWMT,western,-107.33500000000001,45.91732142857143,WECC_NWPP,NorthernGrid,NorthernGrid_East,MT,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p21,524.48,230.0,p21,p21,PACE,western,-109.63406451612903,42.696625806451614,WECC_NWPP,NorthernGrid,NorthernGrid_East,WY,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p22,84.91,230.0,p22,p22,WACM,western,-106.91325,44.63035,WECC_NWPP,NorthernGrid,NorthernGrid_East,WY,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p23,135.9,230.0,p23,p23,WACM,western,-105.34983333333334,44.22128333333333,WECC_NWPP,WestConnect,WestConnect_North,WY,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p24,568.39,230.0,p24,p24,WACM,western,-104.93887837837838,41.6587972972973,WECC_NWPP,WestConnect,WestConnect_North,WY,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p25,6142.23,230.0,p25,p25,PACE,western,-111.94124761904762,40.05289476190477,WECC_NWPP,NorthernGrid,NorthernGrid_South,UT,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p26,320.16,230.0,p26,p26,PACE,western,-110.48233333333333,40.58407619047619,WECC_NWPP,NorthernGrid,NorthernGrid_South,UT,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p27,570.32,230.0,p27,p27,WALC,western,-114.0856153846154,35.35054230769231,WECC_SRSG,WestConnect,WestConnect_South,AZ,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p28,14718.85,230.0,p28,p28,AZPS,western,-111.88023958333333,33.61233854166667,WECC_SRSG,WestConnect,WestConnect_South,AZ,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p29,178.55,230.0,p29,p29,WALC,western,-109.41713636363637,35.529013636363636,WECC_SRSG,WestConnect,WestConnect_South,AZ,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p3,1558.79,230.0,p3,p3,BPAT,western,-117.93073015873017,47.78332857142858,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p30,2803.2,230.0,p30,p30,TEPC,western,-111.00589552238807,32.161874626865675,WECC_SRSG,WestConnect,WestConnect_South,AZ,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p31,2603.79,230.0,p31,p31,PNM,western,-105.21675961538462,35.53045,WECC_SRSG,WestConnect,WestConnect_South,NM,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p32,7.46,230.0,p32,p32,WACM,western,-103.2492,44.1358,WECC_NWPP,WestConnect,WestConnect_North,SD,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p33,9283.22,230.0,p33,p33,PSCO,western,-105.25220034129693,39.86898600682594,WECC_NWPP,WestConnect,WestConnect_North,CO,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p34,2928.97,230.0,p34,p34,WACM,western,-105.19684074074074,38.42897851851851,WECC_NWPP,WestConnect,WestConnect_North,CO,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p35,160.32,230.0,p35,p35,SWPP,eastern,-105.69968644067797,47.794071186440675,SPP,SPP,SPP_North,MT,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p36,703.68,230.0,p36,p36,MISO,eastern,-101.77677692307692,47.15280828402367,SPP,SPP,SPP_North,ND,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p37,1415.23,230.0,p37,p37,MISO,eastern,-98.7155,47.62003686006826,MISO,MISO,MISO_North,ND,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p38,2217.33,230.0,p38,p38,SWPP,eastern,-98.37140327455919,44.17612644836272,SPP,SPP,SPP_North,SD,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p39,334.5,230.0,p39,p39,SWPP,eastern,-102.83242857142857,41.60308571428572,SPP,SPP,SPP_North,NE,NE,True,PQ,,,AC,,1.0,0.0,inf,
p4,290.83,230.0,p4,p4,BPAT,western,-119.630625,47.31644375,WECC_NWPP,NorthernGrid,NorthernGrid_West,WA,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p40,2153.6,230.0,p40,p40,SWPP,eastern,-98.46041281407035,41.319828894472366,SPP,SPP,SPP_North,NE,NE,True,PQ,,,AC,,1.0,0.0,inf,
p41,3768.45,230.0,p41,p41,SWPP,eastern,-96.30468905109488,41.053601459854015,SPP,SPP,SPP_North,NE,NE,True,PQ,,,AC,,1.0,0.0,inf,
p42,552.73,230.0,p42,p42,MISO,eastern,-95.85038512396694,47.68888099173554,MISO,MISO,MISO_North,MN,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p43,11203.04,230.0,p43,p43,MISO,eastern,-93.56004273127753,45.527069162995595,MISO,MISO,MISO_North,MN,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p44,390.28000000000003,230.0,p44,p44,MISO,eastern,-95.79491770833333,44.278318750000004,MISO,MISO,MISO_North,MN,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p45,2271.43,230.0,p45,p45,MISO,eastern,-95.08765577395577,42.440163882063885,MISO,MISO,MISO_North,IA,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p46,2210.43,230.0,p46,p46,MISO,eastern,-91.57887816593886,45.215788209606984,MISO,MISO,MISO_North,WI,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p47,498.28,230.0,p47,p47,SWPP,eastern,-103.37702173913043,33.69736739130435,SPP,SPP,SPP_South,NM,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p48,1863.01,230.0,p48,p48,SWPP,eastern,-101.54854763779528,34.82710007874016,SPP,SPP,SPP_South,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p49,100.74,230.0,p49,p49,SWPP,eastern,-101.37641176470589,36.72221764705882,SPP,SPP,SPP_South,OK,OK,True,PQ,,,AC,,1.0,0.0,inf,
p5,7131.88,230.0,p5,p5,BPAT,western,-122.21046311475409,45.15037950819672,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p50,8641.27,230.0,p50,p50,SWPP,eastern,-97.3135954391892,35.291962837837836,SPP,SPP,SPP_South,OK,OK,True,PQ,,,AC,,1.0,0.0,inf,
p51,4451.02,230.0,p51,p51,SWPP,eastern,-95.62394593495934,36.18823577235773,SPP,SPP,SPP_South,OK,OK,True,PQ,,,AC,,1.0,0.0,inf,
p52,417.52,230.0,p52,p52,SWPP,eastern,-100.99949560439562,38.67076483516484,SPP,SPP,SPP_South,KS,NAR,True,PQ,,,AC,,1.0,0.0,inf,
p53,8639.96,230.0,p53,p53,SWPP,eastern,-96.69848722669735,38.4102079401611,SPP,SPP,SPP_South,KS,NAR,True,PQ,,,AC,,1.0,0.0,inf,
p54,4609.11,230.0,p54,p54,SWPP,eastern,-94.23382906666666,39.353083999999996,SPP,SPP,SPP_South,MO,NAR,True,PQ,,,AC,,1.0,0.0,inf,
p55,2804.03,230.0,p55,p55,AECI,eastern,-93.65365212355212,37.244434362934356,SPP,SPP,SPP_South,MO,NAR,True,PQ,,,AC,,1.0,0.0,inf,
p56,3037.25,230.0,p56,p56,SWPP,eastern,-93.76114210526316,35.660384688995215,SPP,SPP,SPP_South,AR,AR,True,PQ,,,AC,,1.0,0.0,inf,
p57,1446.44,230.0,p57,p57,SWPP,eastern,-94.74015181159419,32.97715471014493,SPP,SPP,SPP_South,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p58,16880.75,230.0,p58,p58,MISO,eastern,-91.68722392344498,30.666862200956935,MISO,MISO,MISO_South,LA,LA,True,PQ,,,AC,,1.0,0.0,inf,
p59,1431.91,230.0,p59,p59,EPE,western,-106.36382073170732,31.76752536585366,WECC_SRSG,WestConnect,WestConnect_South,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p6,1180.65,230.0,p6,p6,PACW,western,-122.99517241379311,42.71874655172414,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p60,519.0,230.0,p60,p60,ERCO,texas,-100.58918596491228,32.894807017543854,ERCOT,ERCOT,ERCOT,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p61,1133.7,230.0,p61,p61,ERCO,texas,-103.3572405737705,31.474841598360655,ERCOT,ERCOT,ERCOT,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p62,976.26,230.0,p62,p62,ERCO,texas,-102.31904,31.862752,ERCOT,ERCOT,ERCOT,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p63,21298.82,230.0,p63,p63,ERCO,texas,-96.15634152667985,32.744791427865614,ERCOT,ERCOT,ERCOT,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p64,5202.75,230.0,p64,p64,ERCO,texas,-96.60680123456791,30.494881327160495,ERCOT,ERCOT,ERCOT,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p65,9255.81,230.0,p65,p65,ERCO,texas,-98.06301754385964,28.201024122807016,ERCOT,ERCOT,ERCOT,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p66,3434.27,230.0,p66,p66,MISO,eastern,-94.70909294181035,30.448107219827587,MISO,MISO,MISO_South,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p67,11981.56,230.0,p67,p67,ERCO,texas,-95.39025329341318,29.697261077844313,ERCOT,ERCOT,ERCOT,TX,ERCOT,True,PQ,,,AC,,1.0,0.0,inf,
p68,822.85,230.0,p68,p68,MISO,eastern,-93.80131908396946,43.8600358778626,MISO,MISO,MISO_North,MN,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p69,986.32,230.0,p69,p69,MISO,eastern,-92.1970472392638,42.82140306748467,MISO,MISO,MISO_North,IA,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p7,95.49000000000001,230.0,p7,p7,IPCO,western,-118.329375,43.716675,WECC_NWPP,NorthernGrid,NorthernGrid_West,OR,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p70,5647.04,230.0,p70,p70,MISO,eastern,-92.52407361702127,41.6474295035461,MISO,MISO,MISO_North,IA,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p71,382.32,230.0,p71,p71,MISO,eastern,-92.02792380952381,39.93416507936508,MISO,MISO,MISO_Central,MO,NAR,True,PQ,,,AC,,1.0,0.0,inf,
p72,8327.97,230.0,p72,p72,MISO,eastern,-90.95524349775785,38.52999215246636,MISO,MISO,MISO_Central,MO,NAR,True,PQ,,,AC,,1.0,0.0,inf,
p73,624.79,230.0,p73,p73,MISO,eastern,-91.26228032786885,37.784095081967216,MISO,MISO,MISO_Central,MO,NAR,True,PQ,,,AC,,1.0,0.0,inf,
p74,551.3,230.0,p74,p74,MISO,eastern,-88.0254923076923,46.29345288461539,MISO,MISO,MISO_North,MI,MIRECS,True,PQ,,,AC,,1.0,0.0,inf,
p75,2067.04,230.0,p75,p75,MISO,eastern,-88.70764162436548,44.93739238578681,MISO,MISO,MISO_North,WI,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p76,2561.65,230.0,p76,p76,MISO,eastern,-88.92820182648401,44.04816757990867,MISO,MISO,MISO_North,WI,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p77,782.22,230.0,p77,p77,MISO,eastern,-90.47400967741935,43.35980215053763,MISO,MISO,MISO_North,WI,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p78,1861.74,230.0,p78,p78,MISO,eastern,-89.30163619047619,42.92078285714286,MISO,MISO,MISO_North,WI,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p79,5718.88,230.0,p79,p79,MISO,eastern,-88.12136554307116,43.0206138576779,MISO,MISO,MISO_North,WI,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p8,161.03,230.0,p8,p8,PACW,western,-121.62275,41.203275,WECC_NWPP,NorthernGrid,NorthernGrid_South,CA,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p80,25604.99,230.0,p80,p80,PJM,eastern,-88.21620355781448,41.840802541296064,PJM,PJM,PJM_West,IL,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p81,5155.58,230.0,p81,p81,MISO,eastern,-89.8440177672956,39.212024056603774,MISO,MISO,MISO_Central,IL,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p82,1664.17,230.0,p82,p82,MISO,eastern,-89.54110503144655,40.43353836477988,MISO,MISO,MISO_Central,IL,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p83,2635.64,230.0,p83,p83,MISO,eastern,-88.35258247734139,39.783781873111785,MISO,MISO,MISO_Central,IL,MRETS,True,PQ,,,AC,,1.0,0.0,inf,
p84,1119.74,230.0,p84,p84,AECI,eastern,-91.20959574468085,36.997156737588654,MISO,MISO,MISO_Central,MO,NAR,True,PQ,,,AC,,1.0,0.0,inf,
p85,7102.85,230.0,p85,p85,MISO,eastern,-92.03559904397706,34.826595602294454,MISO,MISO,MISO_South,AR,AR,True,PQ,,,AC,,1.0,0.0,inf,
p86,1387.23,230.0,p86,p86,MISO,eastern,-92.04463661971832,32.5474,MISO,MISO,MISO_South,LA,LA,True,PQ,,,AC,,1.0,0.0,inf,
p87,8856.1,230.0,p87,p87,MISO,eastern,-89.80267447306791,32.18881451990632,MISO,MISO,MISO_South,MS,MS,True,PQ,,,AC,,1.0,0.0,inf,
p88,2437.72,230.0,p88,p88,TVA,eastern,-88.89165968992249,34.065838759689925,SERC,SERTP,SERTP,MS,MS,True,PQ,,,AC,,1.0,0.0,inf,
p89,9235.57,230.0,p89,p89,SOCO,eastern,-87.04048670076726,33.89199335038363,SERC,SERTP,SERTP,AL,AL,True,PQ,,,AC,,1.0,0.0,inf,
p9,24859.01,230.0,p9,p9,CISO,western,-121.55242572087658,37.90217681660899,WECC_CA,CAISO,CAISO,CA,WREGIS,True,PQ,,,AC,,1.0,0.0,inf,
p90,9359.34,230.0,p90,p90,SOCO,eastern,-86.4993769574944,32.17052953020134,SERC,SERTP,SERTP,AL,AL,True,PQ,,,AC,,1.0,0.0,inf,
p91,2379.69,230.0,p91,p91,AEC,eastern,-86.34816090909091,30.52167090909091,SERC,SERTP,SERTP,FL,FL,True,PQ,,,AC,,1.0,0.0,inf,
p92,21613.24,230.0,p92,p92,TVA,eastern,-86.19794021352313,35.826000711743774,SERC,SERTP,SERTP,TN,TN,True,PQ,,,AC,,1.0,0.0,inf,
p93,2588.1,230.0,p93,p93,TVA,eastern,-86.88552542372881,36.9058220338983,SERC,SERTP,SERTP,KY,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
p94,29819.87,230.0,p94,p94,SOCO,eastern,-83.66199318394024,33.039478244631184,SERC,SERTP,SERTP,GA,GA,True,PQ,,,AC,,1.0,0.0,inf,
p95,5887.54,230.0,p95,p95,DUK,eastern,-82.05052457627119,34.77596483050848,SERC,SERTP,SERTP,SC,SC,True,PQ,,,AC,,1.0,0.0,inf,
p96,10612.38,230.0,p96,p96,SC,eastern,-80.40199387755102,33.609904336734694,SERC,SERTP,SERTP,SC,SC,True,PQ,,,AC,,1.0,0.0,inf,
p97,13194.63,230.0,p97,p97,DUK,eastern,-81.16978058419244,35.6290764604811,SERC,SERTP,SERTP,NC,NC-RETS,True,PQ,,,AC,,1.0,0.0,inf,
p98,12710.17,230.0,p98,p98,CPLE,eastern,-78.26397828200973,35.44303954619125,SERC,SERTP,SERTP,NC,NC-RETS,True,PQ,,,AC,,1.0,0.0,inf,
p99,20489.79,230.0,p99,p99,PJM,eastern,-77.61775341040463,37.833576531791905,PJM,PJM,PJM_East,VA,PJM-GATS,True,PQ,,,AC,,1.0,0.0,inf,
